DEPTH,RHOB,DT,GR,FACIES
509.4,1506.0204,514.0007,22.9003,2
509.55,1503.0922,509.8108,22.9003,2
509.7,1481.6953,506.6955,23.1629,2
509.85,1440.6381,507.1529,24.3023,2
510.0,1406.199,512.0745,25.4807,2
510.15,1389.4034,518.8671,25.8105,2
510.3,1382.453,522.588,26.4039,2
510.45,1379.3591,521.7411,27.6758,2
510.6,1387.594,520.3079,28.454,2
510.75,1418.0575,518.5168,28.506,2
510.9,1456.8954,518.5032,28.4682,2
511.05,1474.873,522.7497,28.5093,2
511.2,1448.354,529.4648,28.6577,2
511.35,1408.3167,540.2724,28.8239,2
511.5,1382.1456,552.3923,29.2571,2
511.65,1381.6635,558.5294,29.5169,2
511.8,1418.0614,558.8961,29.3922,2
511.95,1434.6996,554.425,28.6752,2
512.1,1439.0718,547.5992,27.411,2
512.25,1408.7501,542.6542,26.9102,2
512.4,1372.6882,546.331,26.9102,2
512.55,1358.431,554.9968,26.9102,2
512.7,1363.7598,563.8641,26.899,2
512.85,1367.7804,571.0266,26.797,2
513.0,1369.9989,567.3398,26.4599,2
513.15,1371.6335,561.9541,25.9137,2
513.3,1373.1307,558.0887,25.0756,2
513.45,1371.7328,560.4076,24.2574,2
513.6,1367.8932,572.1279,24.2509,2
513.75,1362.064,585.1371,24.2278,2
513.9,1363.0765,600.0637,24.2304,2
514.05,1367.7982,599.1498,24.2557,2
514.2,1364.0426,597.2449,24.28,2
514.35,1364.7637,595.4984,25.21,2
514.5,1363.8167,598.2793,25.2771,2
514.65,1360.8159,614.3898,25.6289,2
514.8,1363.1001,623.3783,25.9054,2
514.95,1367.074,626.3229,25.9054,2
515.1,1363.79,625.7069,25.6344,2
515.25,1362.4519,625.8118,25.8943,2
515.4,1364.104,627.0137,25.9054,2
515.55,1365.2195,631.4202,26.9485,2
515.7,1363.7467,636.1812,27.0309,2
515.85,1363.6,641.428,27.0309,2
516.0,1365.1846,644.3925,27.1712,2
516.15,1365.4867,644.187,27.1903,2
516.3,1361.519,643.0699,27.4398,2
516.45,1369.052,641.2705,27.4849,2
516.6,1375.0103,638.9308,27.4849,2
516.75,1374.7998,636.6065,26.5013,2
516.9,1371.51,634.2509,25.7921,2
517.05,1365.3319,632.636,24.7336,2
517.2,1365.9614,630.201,24.45,2
517.35,1370.0742,632.3854,24.45,2
517.5,1372.5239,635.7161,24.45,2
517.65,1365.5093,639.3353,24.45,2
517.8,1363.7736,638.0646,24.9652,2
517.95,1368.3069,632.9432,25.3321,2
518.1,1369.1547,631.3388,25.396,2
518.25,1365.8472,632.6347,25.4016,2
518.4,1364.6759,637.5834,25.4304,2
518.55,1363.686,639.6472,25.4747,2
518.7,1363.8495,639.3105,25.4934,2
518.85,1368.4581,639.3482,26.452,2
519.0,1367.0317,637.418,28.2127,2
519.15,1364.4202,639.1161,29.0362,2
519.3,1367.5234,640.2137,29.0362,2
519.45,1372.8845,635.0635,28.205,2
519.6,1375.8507,627.7745,25.5666,2
519.75,1370.8053,618.2557,23.585,2
519.9,1365.4933,612.1884,22.7477,2
520.05,1363.9457,611.7816,20.8522,2
520.2,1363.2438,609.3827,19.5673,2
520.35,1364.7933,602.4977,19.5673,2
520.5,1364.74,592.1068,19.6874,2
520.65,1363.5137,580.5128,20.5531,2
520.8,1359.0918,571.3814,21.6396,2
520.95,1356.5074,571.9957,21.6396,2
521.1,1358.7008,573.1033,21.6016,2
521.25,1360.756,572.0298,20.2154,2
521.4,1358.6926,574.0193,17.3954,2
521.55,1354.8364,577.5057,17.318,2
521.7,1360.9667,581.3795,17.318,2
521.85,1363.724,585.6003,17.4976,2
522.0,1364.6526,589.5865,18.4097,2
522.15,1368.2094,591.6077,19.6225,2
522.3,1367.5894,600.7962,19.6225,2
522.45,1365.2014,610.1741,19.514,2
522.6,1360.5475,616.9474,19.0613,2
522.75,1362.9999,620.9275,18.975,2
522.9,1366.8916,622.5054,18.5361,2
523.05,1365.1508,624.7877,18.6754,2
523.2,1364.989,627.2686,19.08,2
523.35,1361.2714,631.3754,19.2263,2
523.5,1363.8839,636.558,19.2512,2
523.65,1363.4265,640.3433,19.5372,2
523.8,1359.7777,641.9579,19.5372,2
523.95,1363.5769,641.6816,19.5372,2
524.1,1368.6571,642.9987,19.5372,2
524.25,1365.5,642.9921,19.5372,2
524.4,1365.9,643.4196,20.0522,2
524.55,1359.7806,645.3479,20.0522,2
524.7,1366.3727,646.296,20.0522,2
524.85,1375.0873,646.244,20.0203,2
525.0,1372.2322,648.2333,19.7862,2
525.15,1357.9261,649.064,19.2226,2
525.3,1357.8789,649.8887,19.6204,2
525.45,1359.2416,651.5299,19.6662,2
525.6,1355.9934,653.5362,19.2552,2
525.75,1356.6095,654.9095,19.1957,2
525.9,1353.7755,657.9321,19.1957,2
526.05,1358.7388,659.5901,18.9489,2
526.2,1358.6086,660.5673,19.1381,2
526.35,1358.8553,661.2989,18.841,2
526.5,1363.4102,662.1065,18.5327,2
526.65,1362.952,662.7885,18.4695,2
526.8,1358.74,663.382,17.23,2
526.95,1357.6454,663.4598,16.8101,2
527.1,1358.1281,663.3223,16.8101,2
527.25,1358.6467,663.1252,17.0289,2
527.4,1360.6366,662.7748,18.1556,2
527.55,1361.9,662.5063,18.6398,2
527.7,1359.6423,662.6044,18.6398,2
527.85,1364.8878,662.931,18.4726,2
528.0,1368.3933,663.2944,18.1781,2
528.15,1367.6599,663.6984,17.8805,2
528.3,1367.3588,664.0828,17.7653,2
528.45,1367.7402,664.4633,17.9286,2
528.6,1367.2808,664.6141,17.894,2
528.75,1362.6448,664.5235,17.7653,2
528.9,1363.8314,664.3312,17.9679,2
529.05,1368.0986,663.5111,18.1549,2
529.2,1367.1725,662.7703,17.6929,2
529.35,1362.2748,662.7658,16.9536,2
529.5,1359.931,662.6766,16.4401,2
529.65,1364.3489,662.3824,16.159,2
529.8,1369.3887,662.1603,16.159,2
529.95,1371.5754,661.6286,16.3164,2
530.1,1367.4149,660.9614,16.9181,2
530.25,1365.4703,660.6544,18.5126,2
530.4,1369.6522,659.861,20.2234,2
530.55,1372.5018,658.5422,20.2234,2
530.7,1369.4313,657.2058,19.9019,2
530.85,1363.8474,656.3098,19.2396,2
531.0,1359.9325,655.8726,19.2396,2
531.15,1364.5818,655.639,19.5932,2
531.3,1370.2344,655.3625,21.0029,2
531.45,1375.2072,655.0794,22.5765,2
531.6,1378.4293,654.7911,23.3665,2
531.75,1374.6844,654.723,24.2507,2
531.9,1368.879,655.0597,25.169,2
532.05,1363.6748,655.6693,25.2306,2
532.2,1364.5006,657.644,25.2306,2
532.35,1367.7056,662.2261,25.2306,2
532.5,1371.2662,661.4094,25.3198,2
532.65,1368.788,658.4805,25.9665,2
532.8,1367.3773,654.9286,26.792,2
532.95,1380.5603,650.4805,29.5344,2
533.1,1447.0717,643.613,29.5344,2
533.25,1510.9441,640.3422,29.495,2
533.4,1582.2208,634.0026,28.7962,2
533.55,1654.1704,623.8345,28.7962,2
533.7,1652.9775,608.5104,28.797,2
533.85,1635.4,594.4619,28.9057,2
534.0,1613.9407,593.1708,28.9057,2
534.15,1634.0416,593.2897,28.9057,2
534.3,1673.7733,591.7532,27.6009,2
534.45,1706.1804,581.8055,25.893,2
534.6,1744.8782,568.8832,24.2591,2
534.75,1761.4143,557.6463,22.2384,2
534.9,1750.2816,553.4433,22.0591,2
535.05,1721.1685,553.239,22.0591,2
535.2,1675.0081,554.3144,22.2346,2
535.35,1609.1517,558.1666,22.2616,2
535.5,1539.3022,561.2211,22.2616,2
535.65,1437.7971,551.0928,20.4636,2
535.8,1390.7919,536.4654,19.2996,2
535.95,1387.3486,527.5569,19.1121,2
536.1,1385.5925,521.0995,19.1121,2
536.25,1369.3562,516.833,19.6004,2
536.4,1365.1068,509.0908,21.9287,2
536.55,1367.2002,507.1621,22.7678,2
536.7,1369.5261,509.5451,22.9095,2
536.85,1372.3976,513.0579,22.9599,2
537.0,1381.7526,518.8441,23.6014,2
537.15,1396.9073,523.5043,24.9312,2
537.3,1444.3591,527.6125,27.0956,2
537.45,1504.2413,531.7887,30.0344,2
537.6,1542.3281,535.9382,31.8916,2
537.75,1561.623,544.4284,32.6999,2
537.9,1581.816,551.916,33.0367,2
538.05,1608.3099,554.9651,33.4407,2
538.2,1633.7642,556.5334,35.1371,2
538.35,1676.0057,557.7705,37.068,2
538.5,1695.9277,561.39,38.6137,2
538.65,1681.4366,566.4022,40.368,2
538.8,1661.0662,568.1938,42.3668,2
538.95,1640.5112,567.1372,44.7936,2
539.1,1642.7001,566.7805,47.1018,3
539.25,1671.1984,568.8089,48.1246,3
539.4,1705.6497,569.6978,48.1246,3
539.55,1734.23,566.3885,47.288,3
539.7,1760.433,560.1722,45.8169,3
539.85,1770.9019,552.4886,44.9522,3
540.0,1770.8381,548.8109,42.7716,3
540.15,1771.9297,548.9578,39.8585,3
540.3,1755.9241,548.2504,38.7401,3
540.45,1739.9487,547.0016,38.7401,3
540.6,1728.7653,544.7673,39.7652,3
